microlens_clear_aperture_um,retinal_PSF_FWHM_arcmin,MTF_at_raw_Watson_foveal_Nyquist,pupil_50pct_energy_diameter_mm,pupil_80pct_energy_diameter_mm,pupil_D80_over_7view_cell
4.0,0.4726901809829292,0.3391590531671031,2.1411381684165085,3.058192123215937,5.351836215627889
6.0,0.4726901809829292,0.17724962685846066,1.515866604454363,2.229507372717121,3.9016379022549614
8.0,0.9453803619658584,0.08055407162543503,1.1719791620374485,1.759461032532406,3.0790568069317104
10.0,1.4180705429487876,0.2082856446891873,0.9718950962552492,1.5052804192657925,2.6342407337151363
12.0,1.4180705429487876,0.07957152596459363,0.8138510401940887,1.2664927580724654,2.216362326626814
16.0,2.363450904914646,0.11608234053753273,0.625195281991955,1.0019512213675872,1.7534146373932773
20.0,2.8361410858975753,0.09265205039898489,0.5043753872365304,0.8220591523728692,1.4386035166525208
28.0,4.254211628846362,0.04262701840909656,0.3647692978102735,0.6067652449671125,1.0618391786924466
40.0,6.617662533761008,0.0026892008690827026,0.2576941016011038,0.4375,0.7656249999999999
52.0,8.508423257692725,0.027996973186819776,0.20009763241977654,0.3430390375015648,0.6003183156277383
