architecture,field_samples,pupil_samples_axis,pupil_samples_total,ray_samples,equiv_square_panel_side,equiv_megapixels,ideal_geometric_pupil_capture
Uniform field + static eyebox,53848870.71004182,13,169,9100459149.997068,95396.326711237,9100.459149997068,0.19634954084936207
Retina-foveated + static eyebox,337928.2517694032,13,169,57109874.54902915,7557.10755177066,57.10987454902915,0.19634954084936207
Retina-foveated + perfect steering,337928.2517694032,7,49,16558484.336700758,4069.2117586457402,16.558484336700758,1.0
