rings,views,nearest_neighbor_spacing_mm,sample_type,center_radius_mm,pupil_capture,own_cell_fraction_of_captured,crosstalk_fraction_of_captured
1,7,1.697255353494642,center,0.0,0.9794241491879372,0.9446301496902123,0.055369850309787694
1,7,1.697255353494642,outer,1.697255353494642,0.9215881889770638,0.9715969487700497,0.02840305122995035
2,19,0.848627676747321,center,0.0,0.9794241491879372,0.8507127597400903,0.1492872402599097
2,19,0.848627676747321,outer,1.697255353494642,0.9215881889770638,0.9065770802108399,0.09342291978916006
3,37,0.565751784498214,center,0.0,0.9794241491879372,0.7895559183178911,0.21044408168210893
3,37,0.565751784498214,outer,1.6972553534946422,0.9123599836155102,0.8740136871290007,0.12598631287099926
4,61,0.4243138383736605,center,0.0,0.9794241491879372,0.6295465154458411,0.37045348455415894
4,61,0.4243138383736605,outer,1.697255353494642,0.9215881889770638,0.7721192439222887,0.2278807560777113
