wavelength,MTF50_pitch_floor_arcmin,fraction_FOV_area_where_raw_Watson_fails_even_K1,optics_capped_field_samples,adaptive_K_4D_samples,equiv_square_panel_side,uniform_7x7_same_field_samples,adaptive_K_reduction
450 nm,0.478679848743608,2.3809523809523808e-06,337925.42842045415,11261412.032261869,3355.802740368073,16558345.992602251,1.4703614382606411
550 nm,0.5850531484644098,8.253968253968255e-05,337460.8721146436,10080761.40830934,3175.021481550848,16535582.733617537,1.6403108915947198
650 nm,0.6914264481852117,0.00028075396825396823,335926.19906178606,9013359.188640954,3002.225705812432,16460383.75402752,1.826220769585178
