comparison,mean_abs_deltaL,p95_abs_deltaL,max_abs_deltaL,rms_deltaL
crosstalk - ideal,0.0010515457252040505,0.0046421438455581665,0.05070984363555908,0.0053536598570644855
optics-aware - ideal,0.006550780031830072,0.023320555686950684,0.26517969369888306,0.02101007103919983
